Date,Plant,Machine,Downtime_Hours,Downtime_Reason
2026-01-01,Plant A,M-01,0.8053348065583406,Maintenance
2026-01-01,Plant A,M-01,0.38615821078943086,Operator Issue
2026-01-01,Plant A,M-01,1.2039994017664744,Maintenance
2026-01-01,Plant A,M-02,1.7050309479162185,Maintenance
2026-01-01,Plant A,M-02,3.037803342229858,Mechanical Failure
2026-01-01,Plant A,M-02,0.5223179762210668,Material Shortage
2026-01-01,Plant A,M-03,1.4905000049916945,Operator Issue
2026-01-01,Plant A,M-03,1.6841886401202266,Material Shortage
2026-01-01,Plant A,M-03,1.918753058085218,Changeover
2026-01-01,Plant A,M-04,1.110797300674393,Changeover
2026-01-01,Plant A,M-04,0.21822298650788793,Mechanical Failure
2026-01-01,Plant A,M-04,3.2193669292944764,Material Shortage
2026-01-01,Plant A,M-05,2.3975437768377392,Maintenance
2026-01-01,Plant A,M-05,2.0522147519793377,Maintenance
2026-01-01,Plant A,M-05,0.5560417090779046,Material Shortage
2026-01-01,Plant B,M-01,2.6933187571920607,Maintenance
2026-01-01,Plant B,M-01,1.1755911632644562,Material Shortage
2026-01-01,Plant B,M-01,1.375782865654017,Mechanical Failure
2026-01-01,Plant B,M-02,1.2057781519214956,Mechanical Failure
2026-01-01,Plant B,M-02,0.9219219245911319,Material Shortage
2026-01-01,Plant B,M-02,1.0308815762237016,Mechanical Failure
2026-01-01,Plant B,M-03,0.3090674185718097,Mechanical Failure
2026-01-01,Plant B,M-03,3.4526464985649823,Maintenance
2026-01-01,Plant B,M-03,3.4452963649529815,Mechanical Failure
2026-01-01,Plant B,M-04,6.363571772752968,Mechanical Failure
2026-01-01,Plant B,M-04,5.54694138520215,Mechanical Failure
2026-01-01,Plant B,M-04,5.031766510860622,Electrical Failure
2026-01-01,Plant B,M-05,3.112699932524821,Mechanical Failure
2026-01-01,Plant B,M-05,3.127385200074887,Material Shortage
2026-01-01,Plant B,M-05,0.5348560914579059,Changeover
2026-01-01,Plant C,M-01,1.679799671854616,Maintenance
2026-01-01,Plant C,M-01,1.4134621500961304,Operator Issue
2026-01-01,Plant C,M-01,3.190125999471228,Mechanical Failure
2026-01-01,Plant C,M-02,0.2802426892237977,Mechanical Failure
2026-01-01,Plant C,M-02,3.1155302734786545,Operator Issue
2026-01-01,Plant C,M-02,1.1716813438296327,Mechanical Failure
2026-01-01,Plant C,M-03,2.9859033643968274,Maintenance
2026-01-01,Plant C,M-03,2.5181974771574605,Changeover
2026-01-01,Plant C,M-03,2.217995245856746,Maintenance
2026-01-01,Plant C,M-04,2.108324465287374,Mechanical Failure
2026-01-01,Plant C,M-04,3.0393352404285285,Changeover
2026-01-01,Plant C,M-04,0.3705496798564054,Maintenance
2026-01-01,Plant C,M-05,1.9037911493939443,Material Shortage
2026-01-01,Plant C,M-05,0.4668807898367523,Material Shortage
2026-01-01,Plant C,M-05,1.0258015639431646,Changeover
2026-01-02,Plant A,M-01,2.6091297446540014,Electrical Failure
2026-01-02,Plant A,M-01,0.5830397136728236,Electrical Failure
2026-01-02,Plant A,M-01,1.7334235827007176,Electrical Failure
2026-01-02,Plant A,M-02,1.436221628267355,Changeover
2026-01-02,Plant A,M-02,2.3001318715718373,Material Shortage
2026-01-02,Plant A,M-02,2.0005354047425854,Electrical Failure
2026-01-02,Plant A,M-03,1.4449549746523203,Electrical Failure
2026-01-02,Plant A,M-03,2.449325107610206,Electrical Failure
2026-01-02,Plant A,M-03,2.625734444552823,Mechanical Failure
2026-01-02,Plant A,M-04,2.614437592488813,Operator Issue
2026-01-02,Plant A,M-04,2.6899914844794517,Mechanical Failure
2026-01-02,Plant A,M-04,1.182196075880726,Material Shortage
2026-01-02,Plant A,M-05,0.47483855694435684,Material Shortage
2026-01-02,Plant A,M-05,2.8122108442953,Operator Issue
2026-01-02,Plant A,M-05,2.529243896799692,Mechanical Failure
2026-01-02,Plant B,M-01,0.47755246017949154,Changeover
2026-01-02,Plant B,M-01,3.1051878965067754,Mechanical Failure
2026-01-02,Plant B,M-01,1.7895010602815804,Maintenance
2026-01-02,Plant B,M-02,1.7465801185806165,Material Shortage
2026-01-02,Plant B,M-02,2.1251169248206265,Mechanical Failure
2026-01-02,Plant B,M-02,3.400600128135209,Changeover
2026-01-02,Plant B,M-03,1.0348675543644956,Mechanical Failure
2026-01-02,Plant B,M-03,3.3637179444458924,Operator Issue
2026-01-02,Plant B,M-03,2.334599593506789,Changeover
2026-01-02,Plant B,M-04,6.144385465376482,Changeover
2026-01-02,Plant B,M-04,7.290148971692676,Mechanical Failure
2026-01-02,Plant B,M-04,4.1054678979890085,Changeover
2026-01-02,Plant B,M-05,1.4569398268823708,Electrical Failure
2026-01-02,Plant B,M-05,3.0535838416416756,Changeover
2026-01-02,Plant B,M-05,3.3177269086120122,Operator Issue
2026-01-02,Plant C,M-01,3.0981282026813344,Electrical Failure
2026-01-02,Plant C,M-01,1.9170154129825177,Operator Issue
2026-01-02,Plant C,M-01,2.146854460554199,Changeover
2026-01-02,Plant C,M-02,0.6500258694363402,Operator Issue
2026-01-02,Plant C,M-02,2.006572812767068,Material Shortage
2026-01-02,Plant C,M-02,2.828356859723795,Material Shortage
2026-01-02,Plant C,M-03,1.284880313948777,Maintenance
2026-01-02,Plant C,M-03,2.502302993199875,Maintenance
2026-01-02,Plant C,M-03,0.938701917490858,Electrical Failure
2026-01-02,Plant C,M-04,0.5980983746319827,Operator Issue
2026-01-02,Plant C,M-04,1.7877798003857674,Operator Issue
2026-01-02,Plant C,M-04,3.0653936532174364,Operator Issue
2026-01-02,Plant C,M-05,2.577703002591834,Maintenance
2026-01-02,Plant C,M-05,1.9559745013755416,Mechanical Failure
2026-01-02,Plant C,M-05,0.8977784230885972,Material Shortage
2026-01-03,Plant A,M-01,1.3718442008217056,Operator Issue
2026-01-03,Plant A,M-01,0.6210149992253604,Operator Issue
