Date,Plant,Machine,Energy_kWh
2026-01-01,Plant A,M-01,534.8276825057775
2026-01-01,Plant A,M-01,438.21485909071953
2026-01-01,Plant A,M-01,327.96385670690427
2026-01-01,Plant A,M-02,605.2608218230307
2026-01-01,Plant A,M-02,440.4092181287704
2026-01-01,Plant A,M-02,517.1913298649632
2026-01-01,Plant A,M-03,700.733079664275
2026-01-01,Plant A,M-03,809.2241142159089
2026-01-01,Plant A,M-03,693.4609294694561
2026-01-01,Plant A,M-04,719.2362773126349
2026-01-01,Plant A,M-04,550.1353121585121
2026-01-01,Plant A,M-04,269.7609036433504
2026-01-01,Plant A,M-05,526.2722742108039
2026-01-01,Plant A,M-05,320.2339057956825
2026-01-01,Plant A,M-05,471.36651441747784
2026-01-01,Plant B,M-01,524.6664098189573
2026-01-01,Plant B,M-01,386.60283472950925
2026-01-01,Plant B,M-01,481.87940195272614
2026-01-01,Plant B,M-02,473.5335763668639
2026-01-01,Plant B,M-02,720.3904736964068
2026-01-01,Plant B,M-02,536.9087286505535
2026-01-01,Plant B,M-03,592.6918892649089
2026-01-01,Plant B,M-03,742.5117318288077
2026-01-01,Plant B,M-03,736.1707665113971
2026-01-01,Plant B,M-04,369.4734437803607
2026-01-01,Plant B,M-04,413.135171512855
2026-01-01,Plant B,M-04,343.967486313906
2026-01-01,Plant B,M-05,433.8943379792809
2026-01-01,Plant B,M-05,549.5769510785051
2026-01-01,Plant B,M-05,379.72706964717685
2026-01-01,Plant C,M-01,535.4786346337396
2026-01-01,Plant C,M-01,710.3564288205021
2026-01-01,Plant C,M-01,576.0612199376798
2026-01-01,Plant C,M-02,385.1441431811175
2026-01-01,Plant C,M-02,609.9450716515402
2026-01-01,Plant C,M-02,353.7298395655067
2026-01-01,Plant C,M-03,649.0850656988973
2026-01-01,Plant C,M-03,852.8025177618216
2026-01-01,Plant C,M-03,762.7952209796081
2026-01-01,Plant C,M-04,632.794445931202
2026-01-01,Plant C,M-04,565.2412717826973
2026-01-01,Plant C,M-04,527.9586026024001
2026-01-01,Plant C,M-05,521.1793338990442
2026-01-01,Plant C,M-05,405.17481031584543
2026-01-01,Plant C,M-05,473.65839927142827
2026-01-02,Plant A,M-01,595.5535298719451
2026-01-02,Plant A,M-01,593.6525001432614
2026-01-02,Plant A,M-01,515.8547447751347
2026-01-02,Plant A,M-02,518.1458905216964
