Date,Plant,Machine,Product,Units_Produced,Defective_Units
2026-01-01,Plant A,M-01,P-04,1035,21
2026-01-01,Plant A,M-01,P-03,901,12
2026-01-01,Plant A,M-01,P-05,714,43
2026-01-01,Plant A,M-02,P-04,936,17
2026-01-01,Plant A,M-02,P-01,720,24
2026-01-01,Plant A,M-02,P-01,942,10
2026-01-01,Plant A,M-03,P-03,901,20
2026-01-01,Plant A,M-03,P-02,911,21
2026-01-01,Plant A,M-03,P-06,775,18
2026-01-01,Plant A,M-04,P-04,1111,11
2026-01-01,Plant A,M-04,P-01,866,21
2026-01-01,Plant A,M-04,P-02,583,9
2026-01-01,Plant A,M-05,P-06,888,9
2026-01-01,Plant A,M-05,P-01,598,13
2026-01-01,Plant A,M-05,P-02,943,30
2026-01-01,Plant B,M-01,P-05,838,60
2026-01-01,Plant B,M-01,P-02,693,22
2026-01-01,Plant B,M-01,P-02,900,12
2026-01-01,Plant B,M-02,P-04,915,10
2026-01-01,Plant B,M-02,P-03,1118,19
2026-01-01,Plant B,M-02,P-04,832,12
2026-01-01,Plant B,M-03,P-04,768,11
2026-01-01,Plant B,M-03,P-04,853,12
2026-01-01,Plant B,M-03,P-05,891,45
2026-01-01,Plant B,M-04,P-05,762,53
2026-01-01,Plant B,M-04,P-01,874,15
2026-01-01,Plant B,M-04,P-06,734,10
2026-01-01,Plant B,M-05,P-04,729,12
2026-01-01,Plant B,M-05,P-03,962,31
2026-01-01,Plant B,M-05,P-03,743,11
2026-01-01,Plant C,M-01,P-02,950,24
2026-01-01,Plant C,M-01,P-04,1100,26
2026-01-01,Plant C,M-01,P-03,969,12
2026-01-01,Plant C,M-02,P-03,708,24
2026-01-01,Plant C,M-02,P-06,949,32
2026-01-01,Plant C,M-02,P-01,731,12
2026-01-01,Plant C,M-03,P-01,813,12
2026-01-01,Plant C,M-03,P-01,1049,16
2026-01-01,Plant C,M-03,P-02,946,16
2026-01-01,Plant C,M-04,P-02,979,11
2026-01-01,Plant C,M-04,P-06,879,13
2026-01-01,Plant C,M-04,P-04,887,22
